test_01_top_menu,,,
,,,
test_02_left_menu,,,
,,,
test_03_modules_menu,,,
,,,
Night,<td>Night</td>,False,https://ffcraftland.garena.com/ar/docs/enum/
UGC_SKYENV_EVE,<td>UGC_SKYENV_EVE</td>,False,https://ffcraftland.garena.com/ar/docs/enum/
Dusk,<td>Dusk</td>,False,https://ffcraftland.garena.com/ar/docs/enum/
UGC_SKYENV_CITY,<td>UGC_SKYENV_CITY</td>,False,https://ffcraftland.garena.com/ar/docs/enum/
City,<td>City</td>,False,https://ffcraftland.garena.com/ar/docs/enum/
UGC_SKYENV_COLORFULSKY,<td>UGC_SKYENV_COLORFULSKY</td>,False,https://ffcraftland.garena.com/ar/docs/enum/
Colorful,<td>Colorful</td>,False,https://ffcraftland.garena.com/ar/docs/enum/
UGC_SKYENV_SNOW,<td>UGC_SKYENV_SNOW</td>,False,https://ffcraftland.garena.com/ar/docs/enum/
FrostGalaxy,<td>FrostGalaxy</td>,False,https://ffcraftland.garena.com/ar/docs/enum/
EmoteType,"<h3 id=""emotetype"" tabindex=""-1""><a class=""header-anchor"" href=""#emotetype"">EmoteType</a></h3>",False,https://ffcraftland.garena.com/ar/docs/enum/
Ridicule,<td>Ridicule</td>,False,https://ffcraftland.garena.com/ar/docs/enum/
RidiculeFunny,<td>RidiculeFunny</td>,False,https://ffcraftland.garena.com/ar/docs/enum/
GreatConductor,<td>GreatConductor</td>,False,https://ffcraftland.garena.com/ar/docs/enum/
Energetic,<td>Energetic</td>,False,https://ffcraftland.garena.com/ar/docs/enum/
BattleInStyle,<td>BattleInStyle</td>,False,https://ffcraftland.garena.com/ar/docs/enum/
FogModeType,"<h3 id=""fogmodetype"" tabindex=""-1""><a class=""header-anchor"" href=""#fogmodetype"">FogModeType</a></h3>",False,https://ffcraftland.garena.com/ar/docs/enum/
Linear,<td>Linear</td>,False,https://ffcraftland.garena.com/ar/docs/enum/
Exponential,<td>Exponential</td>,False,https://ffcraftland.garena.com/ar/docs/enum/
ExponentialSquared,<td>ExponentialSquared</td>,False,https://ffcraftland.garena.com/ar/docs/enum/
PlayerStateType,"<h3 id=""playerstatetype"" tabindex=""-1""><a class=""header-anchor"" href=""#playerstatetype"">PlayerStateType</a></h3>",False,https://ffcraftland.garena.com/ar/docs/enum/
Alive,<td>Alive</td>,False,https://ffcraftland.garena.com/ar/docs/enum/
KnockedDown,<td>KnockedDown</td>,False,https://ffcraftland.garena.com/ar/docs/enum/
Dead,<td>Dead</td>,False,https://ffcraftland.garena.com/ar/docs/enum/
PlayerPoseType,"<h3 id=""playerposetype"" tabindex=""-1""><a class=""header-anchor"" href=""#playerposetype"">PlayerPoseType</a></h3>",False,https://ffcraftland.garena.com/ar/docs/enum/
Standing,<td>Standing</td>,False,https://ffcraftland.garena.com/ar/docs/enum/
Crouching,<td>Crouching</td>,False,https://ffcraftland.garena.com/ar/docs/enum/
Sprint,<td>Sprint</td>,False,https://ffcraftland.garena.com/ar/docs/enum/
Prone,<td>Prone</td>,False,https://ffcraftland.garena.com/ar/docs/enum/
Swimdash,<td>Swimdash</td>,False,https://ffcraftland.garena.com/ar/docs/enum/
Skydiving,<td>Skydiving</td>,False,https://ffcraftland.garena.com/ar/docs/enum/
Crossover,<td>Crossover</td>,False,https://ffcraftland.garena.com/ar/docs/enum/
Climbover,<td>Climbover</td>,False,https://ffcraftland.garena.com/ar/docs/enum/
Knockdown,<td>Knockdown</td>,False,https://ffcraftland.garena.com/ar/docs/enum/
Swimsurfing,<td>Swimsurfing</td>,False,https://ffcraftland.garena.com/ar/docs/enum/
Highfalling,<td>Highfalling</td>,False,https://ffcraftland.garena.com/ar/docs/enum/
LowFalling,<td>LowFalling</td>,False,https://ffcraftland.garena.com/ar/docs/enum/
Jetflyrush,<td>Jetflyrush</td>,False,https://ffcraftland.garena.com/ar/docs/enum/
